,Sample,Mean
0,CA.102548,0.31
1,CA.104338,0.7999999999999999
2,CA.105094,0.0
3,CA.109745,2.9600000000000004
4,CA.1906415,4.323333333333333
5,CA.1912627,4.426666666666667
6,CA.1924346,3.92
7,CA.1926760,3.81
8,CA.1927842,4.3999999999999995
9,CA.1933414,6.140000000000001
10,CA.1940640,4.176666666666667
11,CA.2004407,3.14
12,CA.2005288,5.783333333333334
13,CA.2006047,6.463333333333334
14,CA.2008260,5.816666666666667
15,CA.2009329,8.216666666666667
16,CA.2009381,6.493333333333333
17,CA.2009850,4.806666666666667
18,CA.2017611,7.996666666666667
19,CA.2039179,5.21
20,CA.2040686,5.116666666666666
21,CA.2045012,5.286666666666667
22,CA.2046297,6.243333333333333
23,CA.348981,3.3200000000000003
24,CA.354300,3.92
25,CA.359448,1.6066666666666667
26,CA.94377,6.756666666666667
27,CA.98389,4.1433333333333335
28,CA.98475,4.206666666666666
29,CA.99145,3.16
30,CAP.102548,5.816666666666666
31,CAP.104338,4.676666666666667
32,CAP.105094,8.086666666666668
33,CAP.109745,8.646666666666667
34,CAP.1906415,4.55
35,CAP.1912627,0.0
36,CAP.1924346,6.099999999999999
37,CAP.1926760,3.83
38,CAP.1927842,5.693333333333334
39,CAP.1933414,5.276666666666667
40,CAP.1940640,3.1333333333333333
41,CAP.2004407,3.7266666666666666
42,CAP.2005288,5.1499999999999995
43,CAP.2006047,5.243333333333333
44,CAP.2008260,4.266666666666667
45,CAP.2009329,5.983333333333333
46,CAP.2009381,4.8100000000000005
47,CAP.2009850,5.25
48,CAP.2017611,8.716666666666667
49,CAP.2039179,3.983333333333334
50,CAP.2040686,3.9033333333333338
51,CAP.2046297,5.329999999999999
52,CAP.2046641,5.246666666666666
53,CAP.348981,3.86
54,CAP.354300,5.073333333333333
55,CAP.359448,5.19
56,CAP.94377,5.8999999999999995
57,CAP.98389,3.2566666666666664
58,CAP.98475,5.953333333333333
59,CAP.99145,2.5666666666666664
