GSM7085663 	LIV_CD_LD024_1
GSM7085664 	LIV_CD_LD024_2
GSM7085665 	LIV_CD_LD024_3
GSM7085666 	LIV_CD_LD024_4
GSM7085667 	LIV_CD_LD024_5
GSM7085668 	LIV_CD_LD024_6
GSM7085669 	LIV_CD_LD816_1
GSM7085670 	LIV_CD_LD816_2
GSM7085671 	LIV_CD_LD816_3
GSM7085672 	LIV_CD_LD816_4
GSM7085673 	LIV_CD_LD816_5
GSM7085674 	LIV_CD_LD816_6
GSM7085675 	LIV_CD_LD1212_1
GSM7085676 	LIV_CD_LD1212_2
GSM7085677 	LIV_CD_LD1212_3
GSM7085678 	LIV_CD_LD1212_4
GSM7085679 	LIV_CD_LD1212_5
GSM7085680 	LIV_CD_LD1212_6
GSM7085681 	LIV_CD_LD168_1
GSM7085682 	LIV_CD_LD168_2
GSM7085683 	LIV_CD_LD168_3
GSM7085684 	LIV_CD_LD168_4
GSM7085685 	LIV_CD_LD168_5
GSM7085686 	LIV_CD_LD168_6
GSM7085687 	LIV_CD_LD240_1
GSM7085688 	LIV_CD_LD240_2
GSM7085689 	LIV_CD_LD240_3
GSM7085690 	LIV_CD_LD240_4
GSM7085691 	LIV_CD_LD240_5
GSM7085692 	LIV_CD_LD240_6
GSM7085693 	LIV_ABX_LD024_1
GSM7085694 	LIV_ABX_LD024_2
GSM7085695 	LIV_ABX_LD024_3
GSM7085696 	LIV_ABX_LD024_4
GSM7085697 	LIV_ABX_LD024_5
GSM7085698 	LIV_ABX_LD024_6
GSM7085699 	LIV_ABX_LD816_1
GSM7085700 	LIV_ABX_LD816_2
GSM7085701 	LIV_ABX_LD816_3
GSM7085702 	LIV_ABX_LD816_4
GSM7085703 	LIV_ABX_LD816_5
GSM7085704 	LIV_ABX_LD816_6
GSM7085705 	LIV_ABX_LD1212_1
GSM7085706 	LIV_ABX_LD1212_2
GSM7085707 	LIV_ABX_LD1212_3
GSM7085708 	LIV_ABX_LD1212_4
GSM7085709 	LIV_ABX_LD1212_5
GSM7085710 	LIV_ABX_LD1212_6
GSM7085711 	LIV_ABX_LD168_1
GSM7085712 	LIV_ABX_LD168_2
GSM7085713 	LIV_ABX_LD168_3
GSM7085714 	LIV_ABX_LD168_4
GSM7085715 	LIV_ABX_LD168_5
GSM7085716 	LIV_ABX_LD168_6
GSM7085717 	LIV_ABX_LD240_1
GSM7085718 	LIV_ABX_LD240_2
GSM7085719 	LIV_ABX_LD240_3
GSM7085720 	LIV_ABX_LD240_4
GSM7085721 	LIV_ABX_LD240_5
GSM7085722 	LIV_ABX_LD240_6
GSM7085723 	HYP_CD_LD024_1
GSM7085724 	HYP_CD_LD024_2
GSM7085725 	HYP_CD_LD024_3
GSM7085726 	HYP_CD_LD816_1
GSM7085727 	HYP_CD_LD816_2
GSM7085728 	HYP_CD_LD816_3
GSM7085729 	HYP_CD_LD1212_1
GSM7085730 	HYP_CD_LD1212_2
GSM7085731 	HYP_CD_LD1212_3
GSM7085732 	HYP_CD_LD168_1
GSM7085733 	HYP_CD_LD168_2
GSM7085734 	HYP_CD_LD168_3
GSM7085735 	HYP_CD_LD240_1
GSM7085736 	HYP_CD_LD240_2
GSM7085737 	HYP_CD_LD240_3
GSM7085738 	HYP_ABX_LD024_1
GSM7085739 	HYP_ABX_LD024_2
GSM7085740 	HYP_ABX_LD024_3
GSM7085741 	HYP_ABX_LD816_1
GSM7085742 	HYP_ABX_LD816_2
GSM7085743 	HYP_ABX_LD816_3
GSM7085744 	HYP_ABX_LD1212_1
GSM7085745 	HYP_ABX_LD1212_2
GSM7085746 	HYP_ABX_LD1212_3
GSM7085747 	HYP_ABX_LD168_1
GSM7085748 	HYP_ABX_LD168_2
GSM7085749 	HYP_ABX_LD168_3
GSM7085750 	HYP_ABX_LD240_1
GSM7085751 	HYP_ABX_LD240_2
GSM7085752 	HYP_ABX_LD240_3
GSM7085753 	iWAT_CD_LD024_1
GSM7085754 	iWAT_CD_LD024_2
GSM7085755 	iWAT_CD_LD024_3
GSM7085756 	iWAT_CD_LD816_1
GSM7085757 	iWAT_CD_LD816_2
GSM7085758 	iWAT_CD_LD816_3
GSM7085759 	iWAT_CD_LD1212_1
GSM7085760 	iWAT_CD_LD1212_2
GSM7085761 	iWAT_CD_LD1212_3
GSM7085762 	iWAT_CD_LD168_1
GSM7085763 	iWAT_CD_LD168_2
GSM7085764 	iWAT_CD_LD168_3
GSM7085765 	iWAT_CD_LD240_1
GSM7085766 	iWAT_CD_LD240_2
GSM7085767 	iWAT_CD_LD240_3
GSM7085768 	ILE_CD_LD024_1
GSM7085769 	ILE_CD_LD024_2
GSM7085770 	ILE_CD_LD024_3
GSM7085771 	ILE_CD_LD816_1
GSM7085772 	ILE_CD_LD816_2
GSM7085773 	ILE_CD_LD816_3
GSM7085774 	ILE_CD_LD1212_1
GSM7085775 	ILE_CD_LD1212_2
GSM7085776 	ILE_CD_LD1212_3
GSM7085777 	ILE_CD_LD168_1
GSM7085778 	ILE_CD_LD168_2
GSM7085779 	ILE_CD_LD168_3
GSM7085780 	ILE_CD_LD240_1
GSM7085781 	ILE_CD_LD240_2
GSM7085782 	ILE_CD_LD240_3
GSM7085783 	COL_CD_LD024_1
GSM7085784 	COL_CD_LD024_2
GSM7085785 	COL_CD_LD024_3
GSM7085786 	COL_CD_LD816_1
GSM7085787 	COL_CD_LD816_2
GSM7085788 	COL_CD_LD816_3
GSM7085789 	COL_CD_LD1212_1
GSM7085790 	COL_CD_LD1212_2
GSM7085791 	COL_CD_LD1212_3
GSM7085792 	COL_CD_LD168_1
GSM7085793 	COL_CD_LD168_2
GSM7085794 	COL_CD_LD168_3
GSM7085795 	COL_CD_LD240_1
GSM7085796 	COL_CD_LD240_2
GSM7085797 	COL_CD_LD240_3
GSM7085798 	COL_ABX_LD024_1
GSM7085799 	COL_ABX_LD024_2
GSM7085800 	COL_ABX_LD024_3
GSM7085801 	COL_ABX_LD816_1
GSM7085802 	COL_ABX_LD816_2
GSM7085803 	COL_ABX_LD816_3
GSM7085804 	COL_ABX_LD1212_1
GSM7085805 	COL_ABX_LD1212_2
GSM7085806 	COL_ABX_LD1212_3
GSM7085807 	COL_ABX_LD168_1
GSM7085808 	COL_ABX_LD168_2
GSM7085809 	COL_ABX_LD168_3
GSM7085810 	COL_ABX_LD240_1
GSM7085811 	COL_ABX_LD240_2
GSM7085812 	COL_ABX_LD240_3
GSM7085813 	JEJ_CD_LD024_1
GSM7085814 	JEJ_CD_LD024_2
GSM7085815 	JEJ_CD_LD024_3
GSM7085816 	JEJ_CD_LD816_1
GSM7085817 	JEJ_CD_LD816_2
GSM7085818 	JEJ_CD_LD816_3
GSM7085819 	JEJ_CD_LD1212_1
GSM7085820 	JEJ_CD_LD1212_2
GSM7085821 	JEJ_CD_LD1212_3
GSM7085822 	JEJ_CD_LD168_1
GSM7085823 	JEJ_CD_LD168_2
GSM7085824 	JEJ_CD_LD168_3
GSM7085825 	JEJ_CD_LD240_1
GSM7085826 	JEJ_CD_LD240_2
GSM7085827 	JEJ_CD_LD240_3
GSM7085828 	CEC_CD_LD024_1
GSM7085829 	CEC_CD_LD024_2
GSM7085830 	CEC_CD_LD024_3
GSM7085831 	CEC_CD_LD024_4
GSM7085832 	CEC_CD_LD816_1
GSM7085833 	CEC_CD_LD816_2
GSM7085834 	CEC_CD_LD816_3
GSM7085835 	CEC_CD_LD816_4
GSM7085836 	CEC_CD_LD1212_1
GSM7085837 	CEC_CD_LD1212_2
GSM7085838 	CEC_CD_LD1212_3
GSM7085839 	CEC_CD_LD168_1
GSM7085840 	CEC_CD_LD168_2
GSM7085841 	CEC_CD_LD168_3
GSM7085842 	CEC_CD_LD168_4
GSM7085843 	CEC_CD_LD240_1
GSM7085844 	CEC_CD_LD240_2
GSM7085845 	CEC_CD_LD240_3
GSM7085846 	SPL_CD_LD024_1
GSM7085847 	SPL_CD_LD024_2
GSM7085848 	SPL_CD_LD024_3
GSM7085849 	SPL_CD_LD816_1
GSM7085850 	SPL_CD_LD816_2
GSM7085851 	SPL_CD_LD816_3
GSM7085852 	SPL_CD_LD1212_1
GSM7085853 	SPL_CD_LD1212_2
GSM7085854 	SPL_CD_LD1212_3
GSM7085855 	SPL_CD_LD168_1
GSM7085856 	SPL_CD_LD168_2
GSM7085857 	SPL_CD_LD168_3
GSM7085858 	SPL_CD_LD240_1
GSM7085859 	SPL_CD_LD240_2
GSM7085860 	SPL_CD_LD240_3
GSM7085861 	MAG_CD_LD024_1
GSM7085862 	MAG_CD_LD024_2
GSM7085863 	MAG_CD_LD024_3
GSM7085864 	MAG_CD_LD816_1
GSM7085865 	MAG_CD_LD816_2
GSM7085866 	MAG_CD_LD816_3
GSM7085867 	MAG_CD_LD1212_1
GSM7085868 	MAG_CD_LD1212_2
GSM7085869 	MAG_CD_LD1212_3
GSM7085870 	MAG_CD_LD168_1
GSM7085871 	MAG_CD_LD168_2
GSM7085872 	MAG_CD_LD168_3
GSM7085873 	MAG_CD_LD240_1
GSM7085874 	MAG_CD_LD240_2
GSM7085875 	MAG_CD_LD240_3
GSM7085876 	THY_CD_LD024_1
GSM7085877 	THY_CD_LD024_2
GSM7085878 	THY_CD_LD024_3
GSM7085879 	THY_CD_LD816_1
GSM7085880 	THY_CD_LD816_2
GSM7085881 	THY_CD_LD816_3
GSM7085882 	THY_CD_LD1212_1
GSM7085883 	THY_CD_LD1212_2
GSM7085884 	THY_CD_LD1212_3
GSM7085885 	THY_CD_LD168_1
GSM7085886 	THY_CD_LD168_2
GSM7085887 	THY_CD_LD168_3
GSM7085888 	THY_CD_LD240_1
GSM7085889 	THY_CD_LD240_2
GSM7085890 	THY_CD_LD240_3
