,Sample,Mean
0,KF_01,0.0
1,KF_02,0.0
2,KF_03,0.0
3,KF_04,0.0
4,KF_05,0.0
5,KF_06,0.0
6,KF_07,0.0
7,KF_08,0.0
8,KF_09,0.0
9,KF_10,0.0
10,KF_11,0.6666666666666666
11,KF_12,0.0
12,KF_13,0.3333333333333333
13,KF_14,0.0
14,KF_15,0.0
15,KF_16,0.0
16,KF_17,0.6666666666666666
17,KF_18,0.6666666666666666
18,KF_19,0.3333333333333333
19,KF_20,0.6666666666666666
20,KF_21,0.0
21,KF_22,0.0
22,KF_23,0.0
23,KF_24,0.0
24,KF_25,0.0
25,KF_26,0.0
26,KF_27,0.0
27,KF_28,0.3333333333333333
28,KF_29,0.0
29,KF_30,0.6666666666666666
30,KF_31,0.0
31,KF_32,0.3333333333333333
32,KF_33,0.0
33,KF_34,0.0
34,KF_35,0.0
35,KF_36,0.6666666666666666
36,KF_37,0.0
37,KF_38,0.0
38,KF_39,0.0
39,KF_40,0.0
40,KF_41,0.0
41,KF_42,0.0
42,KF_43,0.0
43,KF_44,0.0
44,KF_45,0.0
45,KF_46,0.0
46,KF_47,0.0
47,KF_48,0.3333333333333333
48,KF_49,0.0
49,KF_50,0.6666666666666666
50,KF_51,0.0
51,KF_52,0.0
52,KF_53,0.0
53,KF_54,0.0
54,KF_55,0.0
55,KF_56,0.0
56,KF_57,0.0
57,KF_58,0.3333333333333333
58,KF_59,0.0
59,KF_60,0.0
60,KF_61,1.3333333333333333
61,KF_62,0.0
62,KF_63,0.0
63,KF_64,0.0
64,KF_65,0.0
65,KF_66,0.3333333333333333
66,KF_67,0.0
67,KF_68,0.0
68,KF_69,0.0
69,KF_70,0.0
70,KF_71,0.3333333333333333
71,KF_72,0.0
