#ID = Agilent feature number
#COL = Column
#ROW = Row
#miRNA_ID = 
#PROBE NAME = Spot identifier
#CONTROL_TYPE = Control type
#ACCESSION_STRING = Accession String
#CHROMOSOMAL_LOCATION = Chromosomal Location
#DESCRIPTION = Description
#SPOT_ID = 
ID	COL	ROW	miRNA_ID	PROBE NAME	CONTROL_TYPE	ACCESSION_STRING	CHROMOSOMAL_LOCATION	DESCRIPTION	SPOT_ID
1	96	164		miRNABrightCorner30	pos				CONTROL
2	96	162		DarkCorner	pos				CONTROL
3	96	160	hsa-miR-152	A_25_P00012196	FALSE	mir|hsa-miR-152|mir|MIMAT0000438	chr17:043469599-043469584	NA	
4	96	158	hsa-miR-627	A_25_P00011031	FALSE	mir|hsa-miR-627|mir|MIMAT0003296	chr15:040279096-040279076	NA	
5	96	156	hsa-miR-15a*	A_25_P00013142	FALSE	mir|hsa-miR-15a*|mir|MIMAT0004488	chr13:049521327-049521310	NA	
6	96	154	hsa-miR-520e	A_25_P00010562	FALSE	mir|hsa-miR-520e|mir|MIMAT0002825	chr19:058870834-058870850	NA	
7	96	152	hsa-miR-632	A_25_P00011021	FALSE	mir|hsa-miR-632|mir|MIMAT0003302	chr17:027701305-027701319	NA	
8	96	150	hsa-miR-220a	A_25_P00010039	FALSE	mir|hsa-miR-220a|mir|MIMAT0000277|mir|hsa-miR-220_v9.1	chrX:122523669-122523651	NA	
9	96	148	ebv-miR-BART7	A_25_P00011717	FALSE	mir|ebv-miR-BART7|mir|MIMAT0003416	unmapped	NA	
10	96	146	hsa-miR-337-5p	A_25_P00012361	FALSE	mir|hsa-miR-337-5p|mir|MIMAT0004695	chr14:100410609-100410625	NA	
11	96	144	hsa-miR-921	A_25_P00013040	FALSE	mir|hsa-miR-921|mir|MIMAT0004971	chr1:164390629-164390616	NA	
12	96	142	hsa-miR-505*	A_25_P00013605	FALSE	mir|hsa-miR-505*|mir|MIMAT0004776	chrX:138834008-138833992	NA	
13	96	140		NA	ignore				-- ignore
14	96	138	hsa-miR-129-3p	A_25_P00012225	FALSE	mir|hsa-miR-129-3p|mir|MIMAT0004605	chr11:043559580-043559597	NA	
15	96	136	hcmv-miR-UL22A	A_25_P00011875	FALSE	mir|hcmv-miR-UL22A|mir|MIMAT0001574	unmapped	NA	
16	96	134	hsa-miR-489	A_25_P00010829	FALSE	mir|hsa-miR-489|mir|MIMAT0002805|mir|hsa-miR-489_v9.1	chr7:092951256-092951239	NA	
17	96	132	hsa-miR-553	A_25_P00011222	FALSE	mir|hsa-miR-553|mir|MIMAT0003216	chr1:100519405-100519420	NA	
18	96	130	hsa-miR-125b	A_25_P00010980	FALSE	mir|hsa-miR-125b|mir|MIMAT0000423	chr11:121475710-121475695	NA	
19	96	128	hsa-miR-219-2-3p	A_25_P00012279	FALSE	mir|hsa-miR-219-2-3p|mir|MIMAT0004675	chr9:130194800-130194785	NA	
20	96	126	hsa-miR-542-5p	A_25_P00012859	FALSE	mir|hsa-miR-542-5p|mir|MIMAT0003340	chrX:133503074-133503055	NA	
21	96	124	hsa-miR-766	A_25_P00011411	FALSE	mir|hsa-miR-766|mir|MIMAT0003888	chrX:118664814-118664801	NA	
22	96	122	hsa-miR-492	A_25_P00010093	FALSE	mir|hsa-miR-492|mir|MIMAT0002812	chr12:093752338-093752356	NA	
23	96	120	hsa-miR-432	A_25_P00010531	FALSE	mir|hsa-miR-432|mir|MIMAT0002814	chr14:100420591-100420608	NA	
24	96	118	hsa-miR-671-3p	A_25_P00012864	FALSE	mir|hsa-miR-671-3p|mir|MIMAT0004819	chr7:150566518-150566527	NA	
25	96	116	hsa-miR-877*	A_25_P00015000	FALSE	mir|hsa-miR-877*|mir|MIMAT0004950	chr6:030660161-030660173	NA	
26	96	114	hsa-miR-549	A_25_P00010367	FALSE	mir|hsa-miR-549|mir|MIMAT0003333	chr15:078921454-078921438	NA	
27	96	112	hsa-miR-801_v10.1	A_25_P00011441	FALSE	mir|hsa-miR-801_v10.1|mir|MIMAT0004209	chr1:028847750-028847763	NA	
28	96	110	hsa-miR-1224-5p	A_25_P00014907	FALSE	mir|hsa-miR-1224-5p|mir|MIMAT0005458	chr3:185441895-185441905	NA	
29	96	108	hsa-miR-553	A_25_P00011219	FALSE	mir|hsa-miR-553|mir|MIMAT0003216	chr1:100519404-100519420	NA	
30	96	106	hsa-miR-374b	A_25_P00014916	FALSE	mir|hsa-miR-374b|mir|MIMAT0004955	chrX:073355138-073355120	NA	
31	96	104	hsa-miR-10a*	A_25_P00013300	FALSE	mir|hsa-miR-10a*|mir|MIMAT0004555	chr17:044012282-044012268	NA	
32	96	102	hsa-miR-549	A_25_P00010365	FALSE	mir|hsa-miR-549|mir|MIMAT0003333	chr15:078921454-078921435	NA	
33	96	100		NA	ignore				-- ignore
34	96	98		NA	ignore				-- ignore
35	96	96	hsa-miR-342-5p	A_25_P00012353	FALSE	mir|hsa-miR-342-5p|mir|MIMAT0004694	chr14:099645766-099645783	NA	
36	96	94	hsa-miR-34c-5p	A_25_P00010756	FALSE	mir|hsa-miR-34c-5p|mir|MIMAT0000686|mir|hsa-miR-34c_v9.1	chr11:110889390-110889408	NA	
37	96	92	ebv-miR-BART11-5p	A_25_P00013749	FALSE	mir|ebv-miR-BART11-5p|mir|MIMAT0003421	unmapped	NA	
38	96	90	hsa-miR-196a*	A_25_P00013328	FALSE	mir|hsa-miR-196a*|mir|MIMAT0004562	chr12:052671860-052671871	NA	
39	96	88	hsa-miR-548b-3p	A_25_P00010124	FALSE	mir|hsa-miR-548b-3p|mir|MIMAT0003254|mir|hsa-miR-548b_v9.1	chr6:119431992-119431975	NA	
40	96	86	hsa-miR-486-3p	A_25_P00012467	FALSE	mir|hsa-miR-486-3p|mir|MIMAT0004762	chr8:041637181-041637167	NA	
41	96	84	hsa-miR-29a	A_25_P00012013	FALSE	mir|hsa-miR-29a|mir|MIMAT0000086	chr7:130212108-130212089	NA	
42	96	82	hsa-miR-26b*	A_25_P00013200	FALSE	mir|hsa-miR-26b*|mir|MIMAT0004500	chr2:218975662-218975680	NA	
43	96	80	hsa-miR-566	A_25_P00010945	FALSE	mir|hsa-miR-566|mir|MIMAT0003230	chr3:050185778-050185796	NA	
44	96	78	hsa-miR-339-5p	A_25_P00012398	FALSE	mir|hsa-miR-339-5p|mir|MIMAT0000764	chr7:001029131-001029121	NA	
45	96	76	hsa-miR-490-3p	A_25_P00010507	FALSE	mir|hsa-miR-490-3p|mir|MIMAT0002806|mir|hsa-miR-490_v9.1	chr7:136238534-136238550	NA	
46	96	74	hsa-miR-613	A_25_P00011421	FALSE	mir|hsa-miR-613|mir|MIMAT0003281	chr12:012808915-012808929	NA	
47	96	72		NA	ignore				-- ignore
48	96	70	hsa-miR-551b	A_25_P00010648	FALSE	mir|hsa-miR-551b|mir|MIMAT0003233	chr3:169752398-169752416	NA	
49	96	68	hsa-let-7d*	A_25_P00013127	FALSE	mir|hsa-let-7d*|mir|MIMAT0004484	chr9:095981002-095981019	NA	
50	96	66	hcmv-miR-UL70-5p	A_25_P00011879	FALSE	mir|hcmv-miR-UL70-5p|mir|MIMAT0003342	unmapped	NA	
51	96	64	hsa-miR-186*	A_25_P00013458	FALSE	mir|hsa-miR-186*|mir|MIMAT0004612	chr1:071305976-071305958	NA	
52	96	62	hsa-miR-154	A_25_P00010584	FALSE	mir|hsa-miR-154|mir|MIMAT0000452	chr14:100595863-100595880	NA	
53	96	60		NA	ignore				-- ignore
54	96	58	hsa-miR-107	A_25_P00011068	FALSE	mir|hsa-miR-107|mir|MIMAT0000104	chr10:091342555-091342537	NA	
55	96	56	hsa-miR-96*	A_25_P00013237	FALSE	mir|hsa-miR-96*|mir|MIMAT0004510	chr7:129201840-129201826	NA	
56	96	54		NA	ignore				-- ignore
57	96	52	hsa-miR-148b	A_25_P00010134	FALSE	mir|hsa-miR-148b|mir|MIMAT0000759	chr12:053017333-053017350	NA	
58	96	50		NA	ignore				-- ignore
59	96	48	hsa-miR-505	A_25_P00012654	FALSE	mir|hsa-miR-505|mir|MIMAT0002876	chrX:138834044-138834026	NA	
60	96	46	hsa-miR-96	A_25_P00012035	FALSE	mir|hsa-miR-96|mir|MIMAT0000095	chr7:129201798-129201777	NA	
61	96	44	hsa-miR-367*	A_25_P00013518	FALSE	mir|hsa-miR-367*|mir|MIMAT0004686	chr4:113788505-113788487	NA	
62	96	42	hsa-miR-138-1*	A_25_P00013440	FALSE	mir|hsa-miR-138-1*|mir|MIMAT0004607	chr3:044130780-044130791	NA	
63	96	40	hsa-miR-335	A_25_P00010214	FALSE	mir|hsa-miR-335|mir|MIMAT0000765	chr7:129923208-129923225	NA	
64	96	38	hsa-miR-376b	A_25_P00010063	FALSE	mir|hsa-miR-376b|mir|MIMAT0002172	chr14:100576590-100576608	NA	
65	96	36	kshv-miR-K12-12	A_25_P00011757	FALSE	mir|kshv-miR-K12-12|mir|MIMAT0003712	unmapped	NA	
66	96	34	hsa-miR-219-2-3p	A_25_P00012278	FALSE	mir|hsa-miR-219-2-3p|mir|MIMAT0004675	chr9:130194800-130194786	NA	
67	96	32	hsa-miR-512-3p	A_25_P00010710	FALSE	mir|hsa-miR-512-3p|mir|MIMAT0002823	chr19:058861799-058861816	NA	
68	96	30		NA	ignore				-- ignore
69	96	28	hsa-miR-652	A_25_P00012833	FALSE	mir|hsa-miR-652|mir|MIMAT0003322	chrX:109185280-109185293	NA	
70	96	26	hsa-miR-151-5p	A_25_P00012375	FALSE	mir|hsa-miR-151-5p|mir|MIMAT0004697	chr8:141811875-141811860	NA	
71	96	24	hsa-miR-424*	A_25_P00013561	FALSE	mir|hsa-miR-424*|mir|MIMAT0004749	chrX:133508377-133508365	NA	
72	96	22	hsa-miR-29a	A_25_P00012013	FALSE	mir|hsa-miR-29a|mir|MIMAT0000086	chr7:130212108-130212089	NA	
73	96	20	hsa-miR-24	A_25_P00010676	FALSE	mir|hsa-miR-24|mir|MIMAT0000080	chr19:013808171-013808154	NA	
